F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
33.19902,0.049323924,31.658497,32.532146,35.212906,3.554409,-4.7195435,0.0,20.358774,0.0,0.20710544,0.69334835,0.1269517,0.16145238,0.22921793,0.10226624,2.4893453,1.5977951,1.2837775,0.41762853,0.017104682,0.6756077,1.1804287,0.53952634,6.435706,0.40052125,0.41263723,5.6494856,15.562583,0.46488294,671.2342,0.32244945,1518.712,0.10918597,-179.02042,-0.3294649,1665.4995,0.09911168,-176.67844,-0.33770525,2643.3772,0.05816366,-177.40161,-0.32598457,-10.142381,-0.55425715,18.569899,0.44908097,0.019163916,1.2834511,-0.012726199,-0.87448204,-9.381189,17.536253,-0.0068886452,0.0027575435,2.4271846,0.99502486,0.125,0.074999996,0.57,0.4329742
36.529682,0.2050937,29.95324,31.35394,45.96749,16.014252,23.598186,13.484086,91.82903,0.0,0.31733492,0.96783197,0.11415926,0.16991995,0.48540267,0.37124342,6.704323,5.268343,3.2402902,2.2378678,0.031996917,1.3003635,1.702457,0.43494934,4.377708,0.8839833,4.2290897,1.3238357,18.491486,0.39578754,716.1509,0.29861277,1359.8351,0.12858619,-164.3939,-0.4402554,1641.0735,0.13740596,-163.38586,-0.43486795,2725.1084,0.07134339,-165.52579,-0.40507358,-7.5122275,-0.65107524,20.979982,0.27822873,0.039837364,0.6402854,-0.008689886,-0.7326072,-7.9616947,16.614376,-0.0029775223,0.0022197673,2.0408163,2.094241,0.085,0.03201562,0.296,0.32153386
33.462364,0.17894651,28.797268,31.057968,40.391598,11.59433,115.28847,25.235834,36.25691,0.0,0.3492187,0.734724,0.11060205,0.27142707,0.59529287,0.48469082,4.8809533,2.7948937,2.9659662,1.437124,0.01644358,0.8320023,1.4550359,0.64189774,5.6676264,0.53122675,3.6284757,2.5675797,20.365877,0.4185719,561.82135,0.29622015,1421.8572,0.15060635,-125.39214,-0.7188649,1530.5425,0.12219227,-122.8989,-0.71371156,2627.7727,0.102800995,-127.575165,-0.6425399,-9.601623,-0.54485554,23.598675,0.27825084,0.03172626,0.71555394,-0.010517204,-0.9492339,-10.69698,19.249846,0.00475684,-0.0059630573,2.7649772,3.773585,0.098749995,0.06679025,0.12888889,0.1912209
35.435513,0.105748326,32.332207,35.085957,38.94795,6.6157417,73.68182,93.03377,31.909071,13.335036,0.58177185,0.7069689,0.2249339,0.49127853,0.85126466,0.62633073,7.7782483,4.3254123,5.173971,2.6138248,0.019342521,1.0277876,1.3159766,0.6244563,6.677594,0.448912,6.1394877,1.5398287,17.622915,0.68314296,714.1915,0.34099215,1421.7051,0.167122,-83.434746,-1.0515155,1715.4642,0.12383604,-81.54222,-1.0146679,2717.5132,0.10174472,-84.83215,-0.94635683,-10.322496,-0.8254321,20.11558,0.471554,0.039405324,0.5688318,-0.010189651,-1.3688909,-8.954113,18.402035,0.018423187,-0.0036419213,3.716216,3.4364264,0.17899999,0.14549571,0.09199999,0.077562876
39.489193,0.15654215,30.816612,43.310017,44.105286,13.288673,22.008419,9.500251,69.54424,51.6948,0.52215284,0.6361077,0.28862438,0.4174797,0.7075945,0.41897014,8.953507,5.399282,6.6067014,3.7675045,0.020064201,0.83379304,1.3602558,0.55982196,7.4972525,0.49867338,8.752299,1.369969,18.7606,0.47494993,676.642,0.35535267,1371.5796,0.14838873,-97.34589,-0.9372251,1709.6671,0.123782516,-88.136505,-0.94828326,2706.6511,0.09600106,-91.52505,-0.8829408,-11.374674,-0.5205587,21.59039,0.35337234,0.040389463,0.5219833,-0.012226534,-1.1264584,-11.566288,22.621082,0.035004232,-0.020525083,3.3333335,4.0229883,0.14285713,0.084128186,0.09833333,0.040173233
36.155125,0.0276714,35.369373,35.783974,37.56142,2.192047,8.183861,0.0,8.054352,17.10297,0.18491305,0.69673985,0.1083908,0.13833433,0.19365521,0.08526441,1.0823122,0.905105,0.71369094,0.4293827,0.01243464,0.87084866,1.0027854,0.86134857,8.677841,0.35778892,12.098709,0.5619904,29.793564,0.19919074,654.13275,0.2897288,1412.1028,0.0794633,-171.20561,-0.3856556,1726.2642,0.09515418,-169.90916,-0.37783134,2801.8455,0.08865103,-170.80014,-0.36465186,-17.949924,-0.29851258,26.6367,0.19447882,0.049121257,0.45076194,-0.011891672,-0.57941,-11.270726,21.452734,0.000617208,-0.0011681113,1.4705882,1.5267177,0.105,0.044999998,0.35,0.29877526
37.984802,0.031822667,37.942112,38.124886,39.02815,1.0860367,33.69581,44.745377,11.98005,1.78333,0.47366703,0.6596203,0.19435728,0.4709202,0.6598935,0.46553624,5.6879125,5.5773344,4.593411,4.7202415,0.012384213,0.57122654,1.3202993,0.41415808,7.4996767,0.28889367,19.344809,0.31858099,25.807167,0.25115004,610.0216,0.3529279,1347.0569,0.10589629,-186.89737,-0.25136313,1575.0023,0.1069194,-166.20944,-0.41552246,2613.412,0.11609965,-167.69597,-0.39362937,-12.920482,-0.25411415,20.55193,0.22764002,0.03369956,0.30847546,-0.017686337,-0.4187115,-8.583015,17.545788,0.017738134,-0.008964833,1.6949153,1.7441862,0.09666667,0.046427958,0.34,0.20518284
30.492918,0.09815373,28.581602,28.690039,35.396175,6.8145733,1.9829712,0.0,30.290508,0.0,0.17928295,0.4541555,0.11822712,0.14843588,0.21535964,0.09713253,2.7697163,1.3423136,1.2992593,1.0544442,0.010329371,0.5602149,0.76491666,0.49789158,8.171093,0.29698244,3.2675498,2.5322888,31.685162,0.17828888,774.86957,0.18754612,1506.0475,0.19386068,-152.87361,-0.5177216,1803.0234,0.10898886,-155.32185,-0.4665097,2911.2947,0.08644845,-156.45128,-0.45214218,-21.124022,-0.2273112,31.966131,0.1943902,0.027374528,0.57554716,-0.017854802,-0.64957017,-8.533343,18.474672,-0.004000043,0.0062091006,2.6178012,1.6129032,0.15666667,0.12918547,0.32999998,0.22192341
34.102886,0.07884315,31.062187,35.370636,36.83557,5.773384,23.687086,13.773185,29.950806,10.583343,0.1940737,0.7048998,0.09329724,0.10248417,0.33867157,0.24537432,2.834276,1.2207807,3.2546165,2.2330363,0.020195358,1.3408704,1.3518752,0.6980392,8.302627,0.25678355,5.509147,1.744096,29.310217,0.18317758,575.81525,0.30612043,1449.2397,0.1373738,-140.96844,-0.6267187,1646.0369,0.12786348,-144.03033,-0.559599,2753.5547,0.07870298,-146.52847,-0.5244272,-17.064678,-0.32038537,25.987226,0.26704875,0.045181166,0.4184767,-0.013968198,-0.67632806,-14.700566,24.352173,-0.004421966,-0.0022904666,2.5974026,1.7699115,0.17,0.09721111,0.37,0.40945083
29.662075,0.06356094,28.288887,28.771069,31.675335,3.386448,5.325478,0.0,10.750488,10.468235,0.15211979,0.6246974,0.09598571,0.11541635,0.18510137,0.089115664,1.0345718,0.6889356,1.5855265,1.2833488,0.022563906,1.1309369,1.2249205,0.7401964,5.919565,0.28233853,1.9691705,1.464432,25.842934,0.25101486,553.70905,0.25521395,1486.1699,0.12680733,-165.81235,-0.4451579,1561.1566,0.12580508,-166.61049,-0.42006126,2661.6482,0.057815112,-167.96983,-0.39984924,-14.876247,-0.26323503,22.549665,0.32254055,0.02218259,0.8271946,-0.019802904,-0.7994807,-11.151858,20.096947,-0.003991935,0.0014694316,0.7692308,0.78431374,0.22999999,0.099999994,0.68,0.57781196
