F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
35.42002,0.12237107,31.292658,35.64323,39.1183,7.8256435,35.614376,50.453495,41.440994,15.520793,0.51724195,1.2782469,0.06853003,0.1979415,0.89511,0.82658,13.204714,9.46838,11.270939,9.1847515,0.029885247,1.0608982,1.2392207,0.855726,6.1767254,0.71469265,7.365534,0.93968874,16.65274,0.41927278,805.927,0.38295552,1010.74805,0.32330078,-149.4547,-0.54818684,1840.9038,0.18694533,-143.00386,-0.5800413,2849.838,0.12735724,-143.5869,-0.5723741,-8.643115,-0.7086031,16.608885,0.422943,0.08133299,0.61430895,-0.00871108,-1.4379344,-1.1177578,11.999436,0.022038735,0.010847017,1.8036073,1.0121458,0.302,0.26880476,0.5533333,0.4147958
41.707138,0.0758985,39.588448,41.946426,43.43043,3.8419838,70.114395,76.71373,49.860855,54.977875,0.7568156,0.6494206,0.23331495,0.728709,1.2324126,0.99909765,8.364161,5.5693617,10.704074,4.105017,0.013666855,1.1431653,0.6429301,0.72384834,10.012078,0.405078,13.9982195,0.5080094,10.862708,1.0480983,537.67566,0.5541688,1059.6812,0.33180016,-140.98653,-0.58483374,1611.4257,0.18977097,-86.1843,-0.9977158,2714.8928,0.115539454,-84.7443,-1.0334327,-6.503103,-1.2994419,13.419129,0.7723209,0.08591011,0.53655195,-0.024337478,-0.483367,4.9903774,1.0495547,-0.013455681,-0.0017730586,3.2967033,1.6949153,0.35999998,0.23151673,0.20333333,0.016996732
40.058247,0.04586568,38.880238,39.70938,41.03666,2.1564217,139.59818,143.68855,58.721115,68.7971,0.29941145,0.66526747,0.083794735,0.27232155,0.4895973,0.40580255,2.4895806,1.6102772,3.1611822,0.45673105,0.025475902,2.3913486,0.62470204,0.86093533,12.00727,0.28925225,6.7162566,1.2062953,25.866356,0.3182838,548.88727,0.42738205,1288.2067,0.20696923,-139.46307,-0.61132526,1528.6702,0.23538044,-85.947395,-1.002534,2631.5813,0.17574012,-94.466064,-0.84247535,-13.990964,-0.5274224,29.953533,0.25453472,0.03616124,1.0322069,-0.022999298,-0.80343336,-14.412024,23.928312,-0.06121285,-0.0034426982,2.5477707,1.3157895,0.47,0.22,0.17666666,0.040276818
42.324272,0.07439298,40.107723,41.854042,45.533787,5.4260635,88.59428,43.917896,26.80429,30.96264,0.7587927,0.86973685,0.25186402,0.44455466,1.2565709,1.0047069,9.962132,9.550031,11.75236,1.5478301,0.020625774,1.7020319,0.7053879,0.6261954,9.452934,0.46856257,11.698612,0.71133626,17.736883,0.5942208,575.699,0.44433147,1092.6212,0.32781217,-142.82646,-0.6091751,1635.4358,0.16566393,-99.3355,-0.91577965,2774.6714,0.13821302,-101.607574,-0.8728437,-7.2685714,-1.4565736,17.659485,0.5329061,0.090017475,0.48160025,-0.01327379,-1.7321714,-3.6106663,11.166558,-0.052941594,-0.0018913015,2.4539878,1.2738854,0.42,0.17999999,0.22666666,0.14429906
34.45459,0.08764171,31.992432,33.751865,37.750618,5.7581863,107.16405,149.07423,20.824293,2.7244234,0.2445778,1.3766023,0.009198398,0.024085559,0.46956056,0.46036217,6.398365,4.5936856,4.7549634,2.2264864,0.016719578,0.8877398,1.0995954,0.58518416,7.0022364,0.46797025,6.8978353,1.3701242,21.522266,0.5191611,545.1052,0.4079121,1156.6636,0.20061272,-127.86693,-0.7332449,1622.8075,0.15706055,-127.23184,-0.69415486,2672.4436,0.11210894,-128.33734,-0.6762476,-13.190406,-0.6198934,21.675766,0.45509365,0.12053759,0.25991327,-0.021639097,-0.5230471,-7.613103,15.695953,0.061815005,0.0021800783,1.8817204,0.8174387,0.48666668,0.14522015,0.53499997,0.43889064
40.09005,0.109274894,37.5629,38.967953,42.945133,5.3822327,19.775045,101.77309,27.997444,16.041634,0.9479207,0.88808465,0.17803355,0.68265057,1.6844317,1.5063981,8.855952,6.1612396,12.102074,2.224002,0.029121198,1.9071566,0.71711093,0.97477716,10.954421,0.35724056,7.103826,1.1805629,14.666605,0.89957654,678.33014,0.5262478,1136.4817,0.29323074,-89.40674,-1.0517268,1658.5919,0.24971855,-63.898727,-1.3201361,2928.2817,0.15710793,-68.71821,-1.18255,-7.1437044,-1.033198,19.065245,0.4877805,0.10275041,0.44331503,-0.016961325,-0.88836586,0.59588885,5.942718,-0.026655462,-0.004054798,2.1505377,0.5524862,1.3,0.0,0.24,0.02
35.453243,0.12249441,32.259235,33.30454,38.78995,6.530716,48.000854,9.077121,56.883465,39.52528,0.33701536,0.69648874,0.08283498,0.33263707,0.50927,0.42643502,2.6254697,1.0379521,2.172074,0.73952276,0.020691186,1.4606088,0.6079957,0.91365737,9.926796,0.28016278,13.694883,0.6089121,31.915344,0.37312254,479.75098,0.39729196,1255.4868,0.18086423,-73.52154,-1.2459462,1499.9371,0.2056729,-70.82441,-1.1057569,2563.373,0.1258514,-78.27172,-0.94003356,-21.412518,-0.44121444,34.61366,0.27221957,0.04088535,1.4880009,-0.029685132,-0.65251076,-9.32413,20.124628,-0.051129308,-0.007109253,2.145923,0.4385965,1.67,0.0,0.29,0.06
42.022594,0.107021466,38.1769,42.683685,46.426052,8.249153,76.3151,109.23854,45.938805,17.744936,0.82686365,0.846969,0.21721733,0.6183893,1.3922902,1.1750729,15.051067,7.1835217,16.515432,12.101234,0.021990295,1.5716196,0.95552725,0.6983743,7.772519,0.49979714,5.2848353,1.9760876,7.81267,1.3024727,866.8838,0.32079253,1219.294,0.24251157,-58.92152,-1.384522,1853.7808,0.15365775,-49.29295,-1.4870055,2833.5208,0.08192513,-50.669407,-1.4319903,-2.6933239,-4.2491593,13.925027,0.64714235,0.06728044,0.45153752,0.009145153,2.1647937,-4.6265492,14.660597,0.002967267,0.025046507,5.194805,1.8421053,0.42428568,0.22676969,0.085,0.05315073
33.686916,0.021873804,33.201103,33.55195,34.241287,1.040184,25.868896,21.449211,11.002069,7.612177,0.22701392,0.6078561,0.050474416,0.23718584,0.35758618,0.30711177,1.6222926,0.7914534,1.6431007,1.1426941,0.00733926,1.8426502,0.54167736,1.1902806,11.5455065,0.14706469,14.666874,0.68870974,27.859419,0.4420417,436.42566,0.32253525,1219.846,0.2243683,-73.466545,-1.3171263,1467.0652,0.1477083,-81.395096,-1.0564228,2457.4846,0.13272622,-84.00742,-1.004027,-17.287624,-0.5185785,32.26274,0.3582011,0.056027185,0.5777517,-0.021724906,-0.72266936,-16.413029,28.235752,-0.082560994,-0.0019515973,2.1645021,0.88495576,0.72999996,0.32999998,0.25,0.029439203
33.412476,0.0120325945,33.050095,33.391903,33.66715,0.617054,9.607561,7.8519,4.2737746,3.0031364,0.4983336,0.66339636,0.14479223,0.5103637,0.8650614,0.7202692,4.5049014,1.5206492,2.445705,1.3117044,0.0043013715,1.1891544,0.5003139,1.0737464,11.635696,0.1339911,2.4909923,2.8093183,16.235058,0.86725205,416.25262,0.1992212,1147.6335,0.19637215,-49.20321,-1.6693287,1471.7009,0.1421133,-59.26458,-1.2634825,2430.5107,0.15448049,-59.378754,-1.2677488,-13.159697,-0.67712307,23.502945,0.48985037,0.052531954,0.60752183,-0.031071458,-0.426113,-5.859852,13.184187,-0.054957803,-0.003918049,2.3809526,0.98039216,0.78499997,0.315,0.21499999,0.005
