F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
29.127632,0.2503918,19.640837,30.87315,35.160084,15.519247,82.70814,48.108818,15.469483,25.079191,0.5829935,0.49715298,0.32969618,0.5467085,0.87777984,0.54808366,6.6759853,3.1857383,5.865908,2.7464573,0.036577612,1.4005895,1.1785778,0.50119954,3.2803938,1.4340473,4.68519,2.0392773,22.082987,0.35479873,566.88293,0.463543,1217.4126,0.17191336,-64.2322,-1.3523787,1568.4796,0.19374187,-63.26357,-1.2353137,2667.3457,0.13796456,-68.22909,-1.1023252,-11.080306,-0.6302794,21.10388,0.37122837,0.06401441,0.48919374,-0.012839721,-0.62481993,-3.885279,11.813161,0.050728463,-0.003594955,7.111111,2.2727273,0.31399998,0.11412274,0.102,0.079347335
38.46134,0.11901991,36.07036,37.988335,40.38735,4.31699,177.74202,228.21416,163.17061,341.9171,0.6687824,0.6228524,0.2870952,0.5883427,1.072681,0.78558576,9.627796,6.483243,8.96543,6.4426346,0.03369866,2.838311,1.1755747,0.6902997,5.72545,0.85561687,2.2113519,5.0065117,13.766067,0.69715667,616.83527,0.46674395,1122.133,0.22395618,-99.09656,-0.93298674,1673.0576,0.19046889,-73.477615,-1.1488616,2729.9614,0.11811239,-76.358284,-1.0776975,-5.8857703,-1.1503564,15.275885,0.5058257,0.07801143,0.36951277,-0.010146617,-1.0385923,-2.4173906,9.521695,0.051889643,-0.0055717635,4.5925927,3.1390135,0.20380953,0.22699857,0.09899999,0.12332477
32.56008,0.22171402,24.918148,37.403717,37.820686,12.902538,152.5714,36.21647,48.727707,8.50915,0.3983753,0.35102066,0.28910822,0.36916813,0.46791598,0.17880777,1.7847414,0.90987116,3.590268,2.159403,0.05199922,1.6444255,1.1607318,0.782668,4.116858,1.4547927,1.4714607,4.9504895,18.8304,0.33768308,665.7224,0.3211068,1226.7256,0.20780179,-80.10555,-1.1017268,1777.9609,0.18419066,-78.92902,-1.0293744,2827.6277,0.1211254,-81.5673,-0.97194296,-12.360166,-0.423745,21.770147,0.26149225,0.055134963,0.4252705,-0.014724066,-0.40093812,-8.6663685,14.945455,0.038218614,-0.01461269,3.448276,2.7272727,0.24,0.2060744,0.155,0.085
35.12773,0.19165175,30.080982,35.38844,40.212784,10.131802,164.56828,23.773287,156.46133,110.464066,0.6198763,0.38831082,0.4524917,0.53814286,0.7120568,0.25956511,3.213623,2.6428483,3.0282836,1.9225795,0.06642999,0.653458,1.2723348,0.3505257,-1.5826942,-1.2238249,3.4074764,2.3279622,13.447505,0.6529644,824.14484,0.34002814,1296.3383,0.4002475,-140.52365,-0.58610445,1826.2351,0.16247216,-131.63905,-0.6312715,2914.499,0.10028486,-133.69302,-0.60339284,-3.4414704,-0.9118018,13.222528,0.41710392,0.10414771,0.21795991,-0.004694215,-1.4430832,-2.5141706,11.1450405,0.094887026,-0.005718068,3.517588,5.670103,0.051818177,0.043236803,0.095,0.06474309
45.366833,0.013109187,44.79895,45.12706,46.03415,1.235199,13.953604,8.598192,151.60141,0.0,0.4652452,0.16691822,0.40488502,0.4745214,0.52589935,0.12101433,2.3634686,0.97022474,0.6907304,1.5508429,0.037850425,0.9842355,2.251309,0.17314364,-0.2413706,-2.447597,3.827256,2.1662834,13.745695,0.6200197,837.8652,0.3612772,1215.1523,0.07147751,-180.71194,-0.30236098,1803.7219,0.13917315,-170.08258,-0.36800548,3002.359,0.078169145,-170.92258,-0.35635233,-1.666924,-1.3212926,9.52822,0.19601616,0.11011409,0.19259413,-0.0024400211,-1.0475878,-2.0148277,8.278249,0.09868757,-0.0045728483,5.9701495,3.2258065,0.04,0.01,0.16333334,0.0703957
35.66839,0.22916317,26.099016,35.194954,44.025185,17.926168,372.13818,277.3102,134.26927,38.570053,0.5149764,0.4417481,0.3659235,0.43128932,0.59679145,0.23086795,3.0683963,1.8664548,2.0243082,2.06654,0.14550123,0.9912247,1.3541862,0.4969244,-1.4769181,-2.7845244,-0.46146932,-17.216219,17.30161,0.40448296,799.4837,0.3336615,1249.1831,0.15680687,-119.68883,-0.78829604,1813.0769,0.17907098,-111.66454,-0.80206746,2974.1577,0.120259434,-115.5386,-0.7405232,-3.414376,-1.1998955,18.147423,0.32300338,0.098038465,0.19781539,-0.00370625,-1.4706041,-3.2052004,13.80747,0.10072669,-0.0027575083,4.43038,4.5307446,0.09071428,0.06943283,0.11615385,0.07141843
37.77691,0.17858627,30.559044,38.68595,43.82165,13.262608,182.20915,91.992615,291.15643,188.63649,1.1803733,0.482297,0.6686093,0.9232065,1.8782406,1.2096312,5.455434,3.081815,5.5654006,2.4858859,0.1177703,0.8759478,1.4016362,0.41569397,-1.8823977,-1.3322119,0.33057365,27.763887,11.647504,0.47402146,748.601,0.40284303,1115.415,0.20178138,-117.61934,-0.7864515,1781.4442,0.17825064,-98.31991,-0.940825,2883.1733,0.10414627,-101.73082,-0.8787669,-3.571119,-0.60133845,14.390228,0.18174194,0.12040597,0.15594684,-0.0082535185,-0.8174212,-1.5631747,11.194342,0.104913734,-0.0065360744,4.366812,4.5454545,0.103,0.07912648,0.11875,0.13383174
38.44865,0.18436062,32.276615,40.863243,42.870567,10.593952,149.1141,79.61354,196.83667,85.79026,0.57236683,0.22176461,0.45592088,0.5704135,0.6783302,0.22240931,3.7917774,1.9817201,3.7912304,1.6801462,0.08593358,1.4505099,1.5511242,0.34815314,-0.8433375,-3.3795938,6.5509977,1.419329,15.21298,0.50113845,913.0162,0.26321763,1120.2413,0.18371686,-98.41507,-0.918375,1954.717,0.13993104,-86.49901,-0.9986815,3036.5679,0.08872898,-88.9865,-0.94987833,-5.1043067,-0.72509456,13.5591955,0.45328438,0.10382677,0.23638207,-0.009265444,-0.65772825,-3.7031255,12.496488,0.092920214,-0.005208954,6.028369,4.347826,0.1275,0.09193521,0.088181816,0.08321038
36.341724,0.23046684,27.991137,37.20434,43.457333,15.466196,270.05972,212.45125,399.1854,403.287,0.68253267,0.71352476,0.30361432,0.42388716,1.2367731,0.9331588,5.1140623,3.0442934,8.337418,6.4650106,0.06832073,1.2499906,1.6335223,0.5373476,-1.576793,-1.97231,-0.16482612,-44.944225,14.791445,0.52782124,703.9204,0.40502647,1203.7161,0.20396984,-133.11957,-0.62896365,1700.2185,0.1735076,-114.921036,-0.72795266,2818.332,0.10537503,-118.34854,-0.6783449,-4.6507745,-0.84580827,16.704119,0.30781677,0.092057176,0.2424107,-0.00622953,-1.2206601,-4.0557475,15.753889,0.091429815,-0.003687606,2.559415,7.037037,0.052894734,0.049359463,0.08258064,0.0767891
36.299698,0.10411451,34.36406,36.114983,39.34936,4.985302,330.88788,513.84235,220.3521,374.54755,1.4563813,0.3659433,0.8884145,1.5627508,1.9162376,1.0278231,6.390036,2.2118275,6.54288,2.7429411,0.10803,0.8836706,1.4513841,0.40613806,-2.8927596,-1.0842971,-1.6113312,-4.3497353,10.154761,0.6473136,552.9866,0.40410605,1237.3137,0.14060001,-116.762375,-0.7930044,1596.3215,0.14001517,-86.598236,-1.0300055,2682.425,0.087655105,-90.336876,-0.9546352,-3.8513374,-0.87339586,14.547364,0.2815169,0.10058634,0.18156846,-0.010860652,-0.47936836,-1.7897956,10.969753,0.093931794,-0.006338203,6.5502186,4.9327354,0.10727273,0.11370542,0.099999994,0.076157734
