file,start,end,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
/Users/sofiafernandes/.cache/kagglehub/datasets/ejlok1/surrey-audiovisual-expressed-emotion-savee/versions/1/ALL/JK_sa01.wav,0 days,0 days 00:00:04.511836735,30.00708,0.2727094,25.00059,28.750051,32.27944,7.2788525,240.265,231.64722,108.59565,103.31528,1.0394328,0.93142223,0.18897012,0.7629179,1.6630414,1.4740713,17.0976,12.125005,18.025711,14.743043,1.0873457,1.1195848,26.53504,0.71615154,13.788753,0.94463295,25.189959,0.7106755,-9.154472,-2.386159,0.058903925,1.3134736,1.5967484,0.7540393,6.4791546,0.60726804,3.3028486,4.6117682,24.492039,0.6230622,500.71017,0.41082683,1207.0641,0.16297886,-80.376015,-1.1741897,1576.09,0.20029439,868.62854,0.4486587,-90.28932,-0.9252786,2686.8733,0.09608775,791.6992,0.60814494,-90.360214,-0.91356874,-23.920813,-0.36979824,32.276436,0.30559957,-0.047252126,-0.9705251,-0.03628348,-0.6360692,1.6653359,0.72668034,32.74393,0.59038097,14.539511,1.0119194,29.190197,0.685227,-18.413984,-1.187365,-34.38907,46.80318,-0.12424991,-0.006894323,0.14144014,2.8888888,1.5730338,0.39142856,0.28129438,0.195,0.19627786,-18.515924
/Users/sofiafernandes/.cache/kagglehub/datasets/ejlok1/surrey-audiovisual-expressed-emotion-savee/versions/1/ALL/JK_sa15.wav,0 days,0 days 00:00:06.058707483,25.473991,0.21782447,22.993029,24.884258,26.689384,3.6963558,555.02386,1132.6873,79.38351,57.577232,0.7165404,0.9200226,0.15101981,0.5215905,1.1404113,0.98939145,10.784992,6.0055223,10.928759,5.6509824,0.5593052,1.2248333,30.611807,0.5270572,11.847589,1.2393183,25.17948,0.681206,-2.6037514,-7.3223734,0.04496054,1.5388789,1.3143123,0.73321146,5.8880997,0.5642709,4.4853697,1.7688614,26.259748,0.5732372,543.0461,0.4228221,1211.6166,0.18317248,-84.711464,-1.0889727,1639.7051,0.18165934,1017.8144,0.37401906,-95.43623,-0.86411536,2691.6948,0.111347735,1004.45074,0.6092399,-95.85011,-0.8525293,-26.608788,-0.36940315,34.893887,0.32794964,-0.055820193,-0.65428805,-0.036524232,-0.5506555,0.8646961,0.84599054,38.643135,0.35618985,8.325904,2.046907,30.119997,0.6519083,-10.153244,-1.9060079,-37.704487,50.671604,-0.12371018,-0.009604911,0.107339896,3.1456954,2.6711187,0.21625,0.15639992,0.17916666,0.18643402,-22.415129
/Users/sofiafernandes/.cache/kagglehub/datasets/ejlok1/surrey-audiovisual-expressed-emotion-savee/versions/1/ALL/DC_n13.wav,0 days,0 days 00:00:02.788888889,27.486273,0.23463657,23.860952,26.258076,29.287365,5.4264126,1114.7651,1384.495,53.99117,11.39356,0.6442597,0.82826406,0.14934127,0.4776851,1.206624,1.0572828,9.858268,5.7203956,11.717186,6.01927,0.51095486,1.1249355,32.839256,0.592567,13.013682,0.94412124,15.123747,0.8000565,9.146742,1.1848763,0.024393834,1.1487373,1.5347601,0.80357295,7.6841526,0.36704174,3.992445,2.094203,30.28757,0.58578,556.94946,0.432653,1275.4883,0.17823952,-87.229645,-1.0748125,1597.6888,0.196419,1077.7081,0.3033756,-95.27954,-0.8831481,2648.1978,0.12832154,912.9323,0.35893646,-99.95549,-0.8042362,-27.895073,-0.3118855,38.413357,0.28454107,-0.05840111,-0.7616492,-0.034432355,-0.5287441,0.8290502,0.69803977,43.533947,0.37789658,10.497185,1.3659918,13.141129,1.1282206,7.629891,1.6484152,-38.403156,51.642334,-0.13365242,-0.008191269,0.06994621,3.2490976,1.8382353,0.31599998,0.188,0.204,0.16644518,-22.39415
/Users/sofiafernandes/.cache/kagglehub/datasets/ejlok1/surrey-audiovisual-expressed-emotion-savee/versions/1/ALL/DC_su09.wav,0 days,0 days 00:00:03.433968254,36.879757,0.17051248,33.624943,35.374607,38.021076,4.3961334,128.57759,147.4998,18.33268,21.825897,1.0806899,0.9727616,0.14997607,0.61590683,2.1136909,1.9637148,25.625906,13.23404,21.13365,11.030906,1.4335806,1.2698585,25.418812,0.6583568,15.76012,0.6663109,13.233544,1.1098634,3.5412524,3.5062287,0.024172684,0.87993324,1.3771409,0.80374175,9.643606,0.3053661,12.637909,1.0167134,33.000927,0.40236416,541.11786,0.3488425,1277.6277,0.19845776,-103.90877,-0.8909985,1608.5415,0.17395748,955.0751,0.37405607,-103.2729,-0.7968637,2648.3071,0.10759287,838.2178,0.43927038,-105.448944,-0.7513614,-25.247677,-0.32876047,34.499878,0.2890909,-0.023997867,-2.097223,-0.03471367,-0.44304878,2.48703,0.7464045,31.623636,0.5769727,16.817732,0.6417512,11.121024,1.6746706,-3.4481304,-3.475833,-36.50584,49.44257,-0.11960594,-0.010003356,0.11083581,3.2163744,2.0771513,0.26714283,0.23783031,0.16875,0.17926498,-15.458962
/Users/sofiafernandes/.cache/kagglehub/datasets/ejlok1/surrey-audiovisual-expressed-emotion-savee/versions/1/ALL/DC_n07.wav,0 days,0 days 00:00:04.051768707,25.581205,0.108522356,23.417963,25.015635,28.008581,4.590618,111.32269,142.70549,37.07849,24.161617,0.7277725,0.8331418,0.14936858,0.6345391,1.2431864,1.0938177,6.983902,4.611851,8.22933,5.257697,0.51302236,1.1946161,35.184986,0.4898343,9.925173,1.4376663,19.027102,0.9233053,8.753633,1.2889715,0.037476737,2.0245574,1.249559,0.84975827,6.8651156,0.26006177,3.1555698,2.4057271,24.420412,0.47509044,488.02045,0.37460905,1204.3271,0.17547199,-73.47968,-1.2717493,1536.6488,0.17196988,958.72156,0.31229225,-84.39325,-1.0061136,2570.9785,0.10114809,893.62744,0.44914708,-86.790985,-0.9543388,-24.68858,-0.32649255,33.618717,0.2763385,-0.051431835,-0.724789,-0.035154648,-0.45181456,0.7616272,0.83540034,44.052296,0.2974061,6.516104,2.529034,19.011585,1.1060352,7.065333,1.8350613,-39.73969,53.08744,-0.13311924,-0.007634819,0.07244049,2.227723,1.0025063,0.6375,0.3264487,0.26999998,0.19057807,-22.507835
/Users/sofiafernandes/.cache/kagglehub/datasets/ejlok1/surrey-audiovisual-expressed-emotion-savee/versions/1/ALL/JK_n20.wav,0 days,0 days 00:00:03.328911565,26.056969,0.18623096,23.425611,25.596985,29.47719,6.0515785,204.85617,147.56929,41.449654,25.56227,0.91177416,0.95037204,0.14929797,0.65008956,1.381328,1.23203,14.299373,9.366665,13.733009,10.335748,0.8281928,1.1085504,29.313807,0.6366612,12.410172,1.0765278,19.870647,0.70723736,-6.6098375,-3.3545053,0.06844465,1.5428634,1.7305012,0.7368221,5.2762065,0.69766897,0.97744673,5.917121,27.935328,0.4768073,498.74344,0.3680113,1212.842,0.17344691,-93.69743,-1.0255016,1529.2369,0.19087525,981.37,0.32116672,-102.521645,-0.8428431,2644.4468,0.099284776,864.6342,0.50756997,-106.25151,-0.77936876,-23.198767,-0.33364126,33.855186,0.29092818,-0.036482453,-0.98181605,-0.039618377,-0.41585994,1.4036723,0.620521,40.424686,0.33190927,7.917875,1.8573512,21.084623,0.8506964,-19.307028,-1.1366335,-36.109947,48.708717,-0.12300082,-0.009311165,0.12903446,3.6253777,1.8404908,0.295,0.19319679,0.225,0.2235136,-20.308275
/Users/sofiafernandes/.cache/kagglehub/datasets/ejlok1/surrey-audiovisual-expressed-emotion-savee/versions/1/ALL/JK_n08.wav,0 days,0 days 00:00:03.544331066,28.125803,0.179003,25.933344,27.748505,30.64068,4.7073364,187.78113,127.99876,47.186676,42.62616,0.9591369,1.1130248,0.14988457,0.54430014,1.5257324,1.3758478,19.145962,12.889638,13.943527,6.4695296,0.9665517,1.4248159,29.385918,0.54011834,11.305345,1.0694265,21.959015,0.69511527,-2.4806597,-8.830682,0.029087221,1.2115682,1.2623758,0.8813665,6.627067,0.32553124,4.603674,1.8258535,28.040648,0.49368212,544.97107,0.4171406,1256.304,0.19715261,-100.7376,-0.93788207,1645.1613,0.21136518,1052.631,0.37445423,-108.73179,-0.7761685,2684.7961,0.103740335,960.19354,0.5500084,-109.09024,-0.7681255,-25.53167,-0.3712149,34.223984,0.32762787,-0.046988707,-0.86968416,-0.037208393,-0.5230485,1.689813,0.9321788,38.8217,0.31611875,9.0847225,1.6187677,25.06077,0.78238565,-14.704864,-1.6121862,-35.980747,48.62721,-0.11597591,-0.011564603,0.20095713,2.549575,2.586207,0.19222221,0.124434516,0.156,0.15698406,-18.406855
/Users/sofiafernandes/.cache/kagglehub/datasets/ejlok1/surrey-audiovisual-expressed-emotion-savee/versions/1/ALL/JE_sa08.wav,0 days,0 days 00:00:04.133265306,32.46879,0.113256045,30.702013,33.12815,34.209274,3.5072613,218.23886,350.55466,35.739777,17.117552,0.5273061,0.98598534,0.14905061,0.15662338,0.9686801,0.8196295,11.31085,6.21065,7.5078497,3.88107,0.4060551,1.5272655,26.260504,0.6069669,17.189188,0.4928168,18.915808,0.57456076,7.0583353,1.7515002,0.017436843,1.0551836,1.0196393,1.0773711,9.993171,0.24411547,5.506002,1.3415178,35.734356,0.34524184,598.4456,0.38866305,1353.133,0.14933832,-138.63974,-0.61518186,1748.9979,0.1826743,1119.2616,0.48946056,-141.14827,-0.54337734,2801.6,0.11218285,1063.6375,0.3804717,-143.30208,-0.5136168,-29.814886,-0.23142354,38.82387,0.21159191,-0.05057867,-0.8621063,-0.037122834,-0.48122385,0.9696055,0.736941,37.832138,0.5043373,21.032686,0.41250622,22.573921,0.6848121,-0.9405736,-15.000084,-39.431187,53.221306,-0.1273128,-0.009956135,0.09079718,2.1844661,1.7199018,0.20142856,0.09493284,0.35714287,0.42060205,-21.988926
/Users/sofiafernandes/.cache/kagglehub/datasets/ejlok1/surrey-audiovisual-expressed-emotion-savee/versions/1/ALL/JK_f15.wav,0 days,0 days 00:00:05.911950113,37.676075,0.16183089,34.42052,39.108486,41.726494,7.305973,189.5932,335.85956,89.360176,49.46621,1.8483734,0.9171546,0.21650738,1.2093717,3.46465,3.2481425,34.915005,19.68796,32.86252,25.013144,2.5990808,1.2459632,25.306688,0.66855234,7.753836,2.4384663,10.222921,1.6125863,-15.486335,-1.7305272,0.045615096,1.2908517,1.4049665,0.8500349,7.7470765,0.75814563,11.749137,0.9653075,24.537018,0.49790582,517.1043,0.3998226,1207.1388,0.17362893,-92.77416,-1.0325333,1587.4362,0.18932639,880.762,0.33834413,-70.27267,-1.1006998,2673.63,0.11341419,806.75336,0.43770474,-73.048355,-1.0277321,-19.341627,-0.5227073,29.003267,0.38965398,0.008948544,5.172552,-0.033357117,-0.5190017,3.4471073,0.97059464,28.571272,0.5721442,3.9238918,5.0234013,9.227737,1.9110389,-24.981916,-0.9688443,-29.736975,41.99046,-0.09259988,-0.0068876212,0.37228644,3.5593219,1.5384616,0.47,0.5684873,0.15777777,0.21693714,-12.6494
/Users/sofiafernandes/.cache/kagglehub/datasets/ejlok1/surrey-audiovisual-expressed-emotion-savee/versions/1/ALL/JK_f01.wav,0 days,0 days 00:00:04.140453515,37.55198,0.18076906,33.916668,38.338142,41.328358,7.4116898,89.54751,87.07353,65.71387,31.342632,1.9875323,0.85477054,0.44235033,1.4584976,3.3847668,2.9424164,27.276886,24.525726,30.210869,17.549858,2.5554094,1.0575715,23.766966,0.78111047,8.409196,1.7155732,11.3456955,1.5786991,-19.358852,-1.2907956,0.060588904,1.2946677,1.2216226,0.9306723,8.173004,0.60023147,11.278669,0.9810874,25.076172,0.5462823,529.09393,0.3475127,1218.6608,0.21376571,-82.37706,-1.1274021,1563.9883,0.19769779,889.1648,0.4136714,-71.2704,-1.0941178,2673.1292,0.09032379,757.223,0.5938082,-74.592575,-1.0123699,-18.691341,-0.4767917,28.248878,0.32736275,0.0002161247,187.86118,-0.034307342,-0.5106441,3.4906425,0.7637902,27.999197,0.6276802,6.3443317,2.4184217,10.317446,1.913507,-29.116867,-0.759675,-30.689518,43.041954,-0.11271126,-0.008217094,0.21198237,3.1476996,1.4705882,0.48499998,0.337429,0.17166665,0.18720903,-11.99127
