F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
33.311512,0.16788727,30.233387,33.58243,36.801254,6.5678673,37.088375,23.873022,102.139885,78.412605,0.369111,0.8585105,0.08804029,0.23855247,0.6878091,0.5997688,5.9203253,4.382643,2.3089306,1.6622162,0.12234536,1.0964379,10.524887,2.1134033,10.119169,1.1551238,15.329601,1.5592407,-12.759517,-1.835804,0.013385792,0.956767,0.61549056,0.6620439,6.5925646,0.57830894,6.793658,1.2225982,14.028973,0.9796858,509.44254,0.5506315,1064.5764,0.31991875,-107.83131,-0.88518155,1675.2382,0.20670512,733.23303,0.7276743,-98.4618,-0.8739468,2739.7366,0.13209912,814.5436,0.4904942,-93.27679,-0.96927935,-8.651574,-1.0088949,16.001669,0.770263,0.09789844,0.40468362,-0.030108167,-0.4792689,0.19288336,0.700925,21.6722,0.7619293,5.9023666,2.139504,17.948797,1.3954595,-23.724514,-0.84398884,-2.1623542,8.433783,0.015293435,-0.013066663,0.03412841,2.1097047,1.724138,0.3225,0.36758503,0.2325,0.107558124,-33.633442
33.5412,0.2212512,30.607704,34.415165,38.33921,7.7315063,301.81708,329.9569,47.030148,38.146214,0.48232085,0.75918555,0.12102547,0.39553607,0.8889305,0.767905,5.654773,4.2394357,3.9917524,2.3852823,0.1890689,0.9191348,16.532682,1.2684162,3.2406046,4.6483326,5.3241296,3.7256877,-10.482587,-2.0282698,0.023041848,1.5029259,1.0251799,1.0075415,6.1632514,0.75938547,3.5769114,3.744466,13.822994,1.2087914,595.3843,0.5690993,1306.6714,0.29179746,-81.27709,-1.1313869,1604.1027,0.23337862,816.35364,0.45385662,-72.694084,-1.1606941,2665.2017,0.155165,818.036,0.44945574,-74.00334,-1.1296344,-9.916397,-0.7983438,19.311138,0.49713838,0.09489351,0.44083115,-0.024594784,-0.64070076,0.25224942,0.6789286,24.902308,0.6127406,-0.48652834,-31.762672,3.971686,5.221199,-15.705584,-1.2915988,-3.152043,8.594208,0.024138201,-0.019725876,0.06481629,2.5974026,1.7699115,0.3775,0.37864065,0.1625,0.0875714,-30.686287
33.721695,0.21903333,30.271343,33.17255,39.68296,9.411617,31.068426,20.980042,97.00008,61.183487,0.40040246,0.808575,0.11127842,0.25526202,0.68793404,0.5766556,4.4269366,3.4457536,4.045279,2.8717372,0.13360377,1.0671185,14.702565,1.5981829,9.939719,1.2812912,5.3516345,4.2208886,-9.501736,-2.3984716,0.014720072,1.088793,0.7555157,0.8628986,7.6018853,0.678327,4.4942245,1.7803673,19.580168,0.7557642,670.83484,0.50285304,1237.8853,0.25735575,-83.928215,-1.0961369,1814.3457,0.23066458,876.718,0.58729726,-84.15692,-1.0103852,2892.5103,0.16222481,817.6198,0.53459674,-85.14586,-0.98663753,-11.865653,-0.6747252,22.286,0.48021433,0.10775353,0.31730565,-0.030066682,-0.67454827,0.19735357,0.7271417,26.22264,0.65655494,5.5229278,2.144111,6.9836545,3.4413157,-21.32647,-0.85621476,-2.463867,8.506494,0.015025738,-0.011972066,0.027866244,2.661597,1.5503876,0.405,0.42488235,0.174,0.14235167,-30.999493
34.36111,0.2043922,29.236042,34.48814,37.640064,8.404022,969.19763,1468.279,60.660587,25.906439,0.36586595,0.8610818,0.085555896,0.2799381,0.6442431,0.5586872,5.394073,3.223679,2.8466368,1.538918,0.12756586,1.1081241,6.551821,3.8589888,9.247336,1.2148978,9.966727,1.8513491,-9.073762,-2.106302,0.034751352,1.852544,0.83505154,0.6629563,5.60951,0.8753957,6.1774144,1.4691927,15.641253,1.0658493,588.77734,0.60119486,1207.7787,0.2509124,-109.71159,-0.85970163,1650.0076,0.2205496,783.30725,0.47894558,-98.17923,-0.90359885,2801.7112,0.16386895,733.1375,0.3763518,-96.73971,-0.9236519,-9.310359,-1.271348,17.0706,0.80379236,0.086414725,0.5133086,-0.028144082,-0.5639263,0.19239525,0.7693449,19.770748,1.067791,8.068976,1.4252893,8.631954,2.4447603,-17.811947,-0.9452713,0.5269006,6.171124,-0.006463655,-0.011046367,0.050418414,2.3715415,2.016129,0.26799998,0.37477458,0.204,0.13617635,-33.801414
33.536655,0.21900496,28.647896,33.393734,39.124413,10.476517,188.47267,132.22525,106.1288,78.47691,0.4118077,0.9722208,0.13377343,0.3347748,0.56834203,0.43456858,3.7914078,2.8923154,3.4464555,1.5866593,0.15961695,1.1110911,20.592306,1.1793576,8.478964,1.4116057,-1.8356876,-9.125695,-6.9786053,-2.9787662,0.052083127,1.7710052,0.79382867,1.2539274,8.154602,0.65886104,7.5935636,0.96827394,23.981277,0.6356717,509.80188,0.43343395,1270.3292,0.16579764,-85.72876,-1.0897712,1501.5459,0.23505269,783.8385,0.42800993,-80.46247,-1.0455903,2585.7969,0.16396521,736.4243,0.42753878,-84.58157,-0.96241903,-16.171339,-0.564841,29.145573,0.36484033,0.08920187,0.54629415,-0.03301705,-0.6270002,0.22426964,0.8020833,31.68119,0.53682214,8.432803,1.4626794,-2.235112,-7.299753,-16.227545,-1.1522998,-4.555726,14.718332,-0.016488254,-0.0038869935,0.04401946,1.6393442,1.6736403,0.385,0.41457808,0.152,0.10264501,-28.442787
32.694885,0.21804868,28.873985,32.697617,36.66361,7.7896233,54.82431,15.976155,29.02832,108.44221,0.35294646,0.8424123,0.10638504,0.23243348,0.6304984,0.52411336,4.7420955,2.7717955,4.1626463,2.4761004,0.11289339,1.0350868,17.351164,1.3842828,11.4377775,1.1428629,5.891862,3.2769659,-8.91523,-2.7288828,0.03390396,1.5613236,0.82798326,0.88541335,6.6645308,0.75421107,4.3343844,1.8176535,20.192745,0.70073533,558.4842,0.5446951,1181.9974,0.233551,-61.013092,-1.4212052,1541.9022,0.23946702,886.099,0.47821006,-64.87592,-1.2376424,2692.3613,0.14390768,674.039,0.7571084,-67.85608,-1.1309144,-14.019801,-0.8284036,24.531277,0.539443,0.08332895,0.47838134,-0.029508954,-0.6218026,0.14799272,0.80056804,28.079811,0.5781771,9.497214,1.5046667,6.1549788,3.2832787,-15.624437,-1.5685573,-0.5439037,7.547623,-0.022079393,-0.005677073,0.019417796,2.8225806,1.234568,0.5933333,0.43122563,0.19333334,0.08219218,-33.383083
33.31958,0.16963083,29.969019,33.966084,37.00302,7.0340023,189.48346,166.57265,21.27841,16.421318,0.39020643,0.7467759,0.12431639,0.2739619,0.7072177,0.5829013,6.275147,5.209936,3.1176126,2.7891448,0.16615045,1.1426314,21.692678,0.92595315,7.6852427,1.4234957,-5.6561604,-4.525908,-12.628297,-1.5684886,0.015472751,1.0201627,0.8875132,1.080063,6.6702204,0.7133528,7.022399,1.9209521,16.245672,0.9755444,601.5227,0.52834076,1229.2804,0.19682713,-102.33482,-0.9268319,1594.5825,0.20287715,863.0987,0.42157707,-87.471405,-1.0087953,2862.3508,0.20316105,966.46106,0.6611944,-88.75432,-0.9834827,-9.262268,-1.0095108,20.61741,0.50776863,0.07553056,0.7892422,-0.0209971,-0.798948,0.2257952,0.93225133,26.892656,0.5726109,6.0085206,1.8296999,-3.864727,-7.8174005,-19.230797,-0.8641171,-5.6347027,17.345821,0.0069400747,-0.014804771,0.088396885,2.834008,2.1097047,0.28,0.35349682,0.174,0.061514225,-31.581848
36.334244,0.23489235,31.384584,34.677692,42.303936,10.919352,353.78848,352.4108,-66.371574,86.6409,0.33313742,0.81764835,0.11868554,0.22864826,0.57258356,0.453898,4.6727448,4.6026573,3.0930805,1.8250283,0.10718423,1.0595211,7.5941796,3.6167827,7.441275,1.7608588,-1.2918525,-16.533901,-7.708239,-2.4402719,0.024161346,1.2649053,1.0964503,0.9953001,5.435044,1.1679868,2.834982,3.0498219,11.945436,1.5341592,716.5558,0.53066343,1236.2883,0.21390823,-116.840515,-0.79538155,1726.3468,0.2290066,778.7105,0.46338075,-95.119446,-0.9626584,2940.2559,0.20327412,908.04626,0.6195514,-95.94583,-0.94899863,-6.2706647,-2.0802965,16.799133,0.8878168,0.08999605,0.6000858,-0.01740607,-1.0821284,0.16031627,0.7405919,18.80411,1.2592497,3.2302597,3.9506555,-1.4227606,-15.2521105,-18.1149,-0.92826986,2.9639845,5.957807,0.022991037,-0.005925088,0.04453547,2.166065,1.8382353,0.294,0.32505995,0.19,0.16693312,-34.392464
34.02798,0.14539813,30.900421,34.29158,37.084072,6.183651,436.51862,628.4752,25.44755,20.913248,0.39381137,0.8821357,0.08936064,0.23090793,0.70297563,0.613615,6.141886,5.2863965,5.4144425,3.7934859,0.12301796,1.1469183,11.039222,1.8731805,12.790449,1.1242293,14.87856,1.6003203,-14.34231,-1.5917249,0.024557339,1.1920471,0.9453689,0.84446865,7.487034,0.5316576,8.6909075,1.1043557,16.620321,0.8653722,561.09894,0.61545223,1081.2328,0.25534713,-77.304886,-1.1701216,1727.0542,0.25059313,922.8712,0.5779451,-75.90884,-1.0625813,2835.6487,0.14887162,762.7356,0.5701534,-72.47269,-1.141402,-12.199816,-0.7675654,19.65198,0.58149475,0.099934116,0.36980325,-0.031628955,-0.4334545,0.17185426,0.84869856,20.790804,0.6663835,11.297298,1.4431747,19.980917,1.2189857,-23.996656,-0.8147797,-0.124515794,6.5287037,0.00014002013,-0.008106707,0.016361833,2.7667985,1.2096775,0.57,0.3879003,0.22999999,0.12832251,-32.051968
34.286343,0.13822022,31.621735,34.499397,36.89518,5.273445,352.1606,526.9384,121.17862,115.70382,0.35819677,0.86753196,0.10756377,0.21939729,0.6044373,0.49687353,4.1166387,3.2467852,4.4048543,2.4218688,0.123925716,1.0964464,14.391253,1.4533514,10.651788,1.20546,11.379184,1.6956311,-9.0297785,-2.2211392,0.02505329,1.7520627,0.79816675,0.9731053,8.552461,0.46618032,6.6515584,1.042106,18.95023,0.7273727,592.327,0.55551827,1165.4788,0.23277533,-90.40349,-1.0276121,1688.6536,0.19926834,702.60364,0.7538232,-88.398125,-0.9504271,2722.5894,0.15155558,724.2277,0.5060038,-87.50745,-0.96778023,-15.036219,-0.6069393,23.152222,0.46421286,0.088516116,0.54156953,-0.033706233,-0.51399827,0.17299694,0.84074956,25.976448,0.5490878,11.072798,1.2585845,11.934554,1.7095348,-16.343039,-1.0907878,-2.0197284,8.321347,-0.008537084,-0.013924861,0.045606807,2.1201415,1.438849,0.42999998,0.4273172,0.24,0.09137833,-32.168503
