F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
36.663185,0.0921933,33.92356,36.60768,39.911366,5.9878044,234.62599,278.5052,229.47478,402.3647,0.37932533,1.4465604,0.004902983,0.051454414,0.7002337,0.69533074,15.544152,10.154582,6.7711782,3.2821193,0.22369139,1.7695312,8.618464,1.9754156,5.0859995,2.6004224,0.832732,19.155775,-4.4934034,-4.345151,0.02948231,1.3182914,1.0913354,0.57734317,5.108792,0.75422823,6.311976,1.7067568,17.324879,0.6966431,515.9905,0.47948956,1226.1758,0.2949358,-149.89777,-0.5419974,1566.9683,0.18731663,781.2011,0.3961953,-128.78471,-0.68033797,2707.1206,0.12968013,665.16815,0.40028167,-129.74048,-0.6658952,-9.773802,-0.96357095,19.916172,0.58773357,0.122859515,0.28062224,-0.01503383,-0.90000427,0.55256957,0.86213523,20.154352,0.7616116,-0.12677123,-134.51132,0.56055355,41.400337,-19.898897,-1.1372759,-3.6163905,12.552123,0.08828692,0.012799387,0.024084767,1.7994859,1.8229167,0.20428571,0.120458305,0.32142857,0.41083288,-33.784313
38.59287,0.08378187,35.79989,39.018208,41.324265,5.524376,41.661167,45.85027,45.512527,26.246408,0.25764453,1.1980995,0.0010339657,0.108571574,0.5878749,0.5868409,7.26883,3.9764385,6.3016186,3.8722541,0.13186622,1.4675462,8.9601145,1.9592478,1.5765448,6.734204,2.653026,4.4758816,-4.5090747,-3.2124634,0.020662926,0.8478632,1.2366539,0.77385616,7.7220407,0.5088788,12.452967,0.7596493,22.358498,0.45149302,574.42175,0.33230245,1276.5204,0.2225482,-151.89655,-0.5338265,1631.9979,0.16104843,868.35187,0.36914033,-136.17534,-0.61218446,2656.5076,0.12410838,869.9663,0.59546924,-137.30463,-0.5962188,-14.234235,-0.6097943,23.077765,0.4284611,0.12644996,0.22732577,-0.021982184,-0.5931623,0.34537703,0.5075768,25.039827,0.65082884,1.1786053,11.800315,2.0010202,8.217656,-15.322438,-1.1962287,1.5453012,7.040791,0.11150573,0.012555859,0.017400524,2.8089888,1.1396011,0.3125,0.1626922,0.53999996,0.4468221,-36.29597
47.691246,0.11762126,45.381668,46.74846,50.92265,5.5409813,173.28862,104.47429,30.014435,10.889656,0.8400606,1.2577219,0.022875901,0.33086085,1.5857116,1.5628357,20.422998,17.501902,17.253685,11.356634,0.8025721,1.68195,1.0283937,11.129171,-11.065723,-1.211756,-0.0019447767,-8236.654,-13.406653,-1.2261178,0.030577041,1.1292679,1.0709196,0.5879281,6.8947754,0.91733193,6.175041,1.5740033,10.432684,1.114881,989.3549,0.27783802,959.6455,0.41461015,-132.82672,-0.6666977,2008.3315,0.16243578,928.2687,0.3884482,-124.4017,-0.7189402,3031.3948,0.09141581,828.9168,0.5079169,-124.93405,-0.69765604,-4.8478503,-1.8670131,14.790773,0.5958476,0.13581048,0.38204488,-0.009469675,-1.680587,1.8498863,0.8573917,7.714812,1.5694072,-19.656569,-0.71961826,-11.339572,-1.6524209,-27.237825,-0.5633753,3.5697565,4.595,0.062251754,3.0388233e-05,0.070834644,2.419355,1.6348774,0.24499999,0.20637748,0.41,0.3850714,-22.345514
39.567497,0.15693301,35.898926,40.48896,43.68525,7.7863235,168.71156,148.85268,128.48146,119.730644,0.62384737,1.4525273,0.012299442,0.12115924,1.2439455,1.2316461,24.357328,13.597396,15.248195,8.371076,0.5111444,1.7081648,8.844881,1.5892905,-0.14606905,-102.46011,2.5091095,6.429313,-10.644143,-2.1074433,0.03369877,1.2366599,1.257071,0.8328699,4.609013,0.95794266,8.239009,1.4455651,15.84671,0.5903001,640.82605,0.51539767,1118.039,0.3343938,-146.35417,-0.5777167,1697.9343,0.20528743,904.7803,0.5090464,-120.33135,-0.75384444,2787.0452,0.11520353,720.2567,0.54391557,-121.59325,-0.7327532,-7.190641,-1.3783884,17.734156,0.58921105,0.10007357,0.43326908,-0.016141715,-1.090074,1.1682583,0.87149954,15.540501,1.0146853,-6.3389163,-2.6721365,0.054481585,426.69608,-28.130865,-0.84496886,-4.3572063,13.46585,0.07436488,0.008484056,0.037621643,2.5252526,1.534527,0.26999998,0.16319723,0.35833332,0.4508295,-26.800886
35.005974,0.10617433,31.523083,34.555748,38.189644,6.666561,99.78712,77.17102,34.78066,24.179268,0.1768744,1.1895657,0.0010339657,0.047135644,0.38438037,0.3833464,6.3650393,5.156041,4.016546,2.2994187,0.07643033,1.5135216,10.658211,1.7006412,4.7437882,2.5163772,2.5193248,4.7778044,-3.248777,-4.289102,0.036064517,1.4002844,1.031109,0.66984564,6.715589,0.49731016,6.6924677,1.4091928,26.255434,0.40084526,599.0545,0.3885448,1232.9344,0.30107236,-149.19424,-0.54437965,1654.7659,0.23405997,897.54456,0.5012759,-141.39,-0.5812148,2743.6975,0.1470504,660.8409,0.48162118,-143.4836,-0.5516667,-14.927079,-0.81670845,24.516924,0.517759,0.11808994,0.29896262,-0.020900654,-0.6887141,0.19159584,0.6689261,27.283436,0.6520315,9.250969,1.8373946,4.0088143,4.6686554,-12.487206,-1.3752615,-0.44796216,8.241088,0.094444126,0.012590126,0.03007836,2.6595745,1.347709,0.23799999,0.16509391,0.48,0.44631827,-42.83241
35.217274,0.11318788,32.466465,33.65696,40.141705,7.6752396,16.421629,5.971373,24.645716,5.09639,0.12400934,1.3032728,0.008863322,0.028217427,0.2388228,0.22995949,4.521987,2.8385477,3.2572508,1.6685693,0.04505356,1.59423,15.765277,1.0555955,5.4304194,1.9830697,2.157923,5.8224173,-5.21384,-2.7946324,0.01930932,1.0835199,1.2108743,0.5206969,8.071363,0.39124823,7.3828244,1.245564,26.365948,0.47723642,611.02606,0.33690444,1217.2496,0.26380405,-146.10252,-0.58349115,1684.0513,0.2061061,894.6396,0.40939635,-142.19302,-0.5812629,2723.8066,0.14491685,902.9332,0.45785573,-143.94618,-0.55619085,-15.091189,-0.6843033,23.594765,0.49548563,0.13072124,0.24689831,-0.021916304,-0.5054416,0.122496106,0.66062224,29.297533,0.56065077,3.44568,4.787413,5.048808,3.5588145,-13.209205,-1.3354979,-6.910323,14.275124,0.0922594,0.0006938532,0.010290548,2.486188,1.4005603,0.222,0.14019985,0.39166668,0.4499043,-46.264347
38.109074,0.09118481,37.689667,38.683445,40.117264,2.427597,109.511986,55.505623,66.582275,46.894505,0.21417995,1.1381861,0.011394884,0.12356014,0.43649307,0.42509818,6.8528523,3.0522623,4.7050414,2.9287484,0.095312364,1.4614698,9.964212,1.9460192,-0.22314961,-59.839737,1.7312425,6.321667,-4.641632,-3.0136418,0.04177764,1.7121763,1.1756577,0.57545733,7.0146976,0.76603144,10.016888,0.9322515,21.392553,0.50952876,577.6884,0.380912,1337.569,0.34373692,-152.254,-0.5419481,1618.9476,0.17633684,919.7992,0.35495892,-134.6868,-0.6409409,2574.3848,0.11683872,973.3814,0.5021292,-135.6665,-0.6270021,-13.604963,-0.58426064,22.232502,0.44549304,0.12414877,0.19415843,-0.025644477,-0.46522194,0.23884524,0.58096707,28.611254,0.5256011,-6.1355076,-2.1608505,-0.08805685,-166.77658,-14.727501,-1.0629225,0.5351851,5.8429794,0.08546739,-8.529477e-05,0.015955633,3.2258065,1.0899183,0.3225,0.14201672,0.45799997,0.41101825,-40.471703
34.21663,0.10291626,31.597443,33.948715,36.20014,4.6026993,166.67323,204.42386,73.55428,82.78203,0.25157177,1.1705899,0.012034139,0.11280866,0.54848284,0.5364487,7.124132,6.6477847,4.8673677,3.010717,0.11188856,1.4332699,12.606196,1.6541921,9.262644,1.3244092,4.4699335,3.5764961,-2.1772845,-8.310298,0.023988727,0.8305167,1.1838609,0.6869973,5.860873,0.7313167,8.4214115,1.3699713,23.995768,0.43338996,542.03925,0.40282682,1212.2821,0.23681177,-132.27469,-0.68068576,1607.0641,0.19454929,848.7826,0.5008484,-130.05952,-0.6515804,2728.5999,0.13604125,762.58966,0.58253574,-131.94621,-0.6234061,-15.8453455,-0.5573362,24.761341,0.39733195,0.1206815,0.30609658,-0.021645356,-0.6088893,0.25382414,0.6715848,29.02854,0.5026529,9.133552,1.6580461,9.890083,2.2553272,-13.003404,-1.7979007,-2.481122,10.091226,0.08252319,0.0048546637,0.023890628,2.669903,1.4742016,0.26333332,0.23206799,0.34,0.3839643,-37.23828
35.192616,0.088153504,31.82637,36.534912,38.012054,6.185684,55.5843,22.783394,24.429491,3.9305077,0.34884807,1.3685817,0.0112215085,0.03796791,0.6615013,0.65027976,11.556399,6.7803597,8.755178,9.071505,0.18696667,1.7995116,8.996054,1.8694357,1.310673,11.334562,6.3734293,2.4023361,-3.049293,-6.0828314,0.02161438,1.1249603,1.0464873,0.76672786,5.796848,0.6930218,4.132626,2.3710241,14.905442,0.52045727,462.63977,0.3619782,1155.129,0.26677048,-141.48923,-0.62554306,1534.6224,0.16211793,793.61707,0.5718382,-130.81262,-0.6754649,2599.3796,0.10071263,847.8992,0.63156044,-131.16692,-0.66847694,-10.135061,-0.86839825,17.638914,0.5395666,0.10948888,0.2587271,-0.0203751,-0.6558181,0.47509757,0.85914934,24.402529,0.6046419,-5.7897644,-3.1132765,10.325436,2.0398993,-19.469017,-1.0278609,-0.9605167,7.62052,0.07076073,0.008600549,0.017509796,2.110818,1.0695187,0.345,0.20105968,0.454,0.4436485,-34.293327
37.502975,0.14673246,34.76493,37.58049,43.441704,8.676773,115.45728,125.32834,87.84842,107.877525,0.26926666,1.356073,0.011238403,0.03430054,0.54534286,0.53410447,10.217125,6.592082,6.551229,3.477283,0.13241276,1.5477008,8.5413475,1.9868766,0.08221767,163.20757,5.219804,2.5899966,-3.9118552,-4.5971003,0.036218673,2.5452483,1.1891903,0.6294223,7.158018,0.63364905,6.8769026,1.525982,16.868193,0.616482,606.58966,0.46736985,1166.3387,0.22287697,-141.0647,-0.6231558,1683.6438,0.18897298,878.15936,0.4380507,-130.93848,-0.6682623,2700.1082,0.14148653,803.1074,0.40140748,-131.48512,-0.6591692,-9.610191,-0.9695928,18.829077,0.5257005,0.10229159,0.39875945,-0.017745245,-0.8948586,0.3278118,0.66345894,22.53125,0.68336755,-4.752095,-3.4607534,2.905021,6.743615,-16.89373,-1.2374377,-0.07875619,7.4094806,0.06374048,0.0058502695,0.014576037,2.4590166,1.1080333,0.33499998,0.24377243,0.54249996,0.450576,-37.21803
