session,method,gender,emotion,n_annotators,agreement,path,label,filename,text,pred_gemma2
1,script,F,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F000.wav,neutral,/Users/krazmic/.cache/kagglehub/datasets/dejolilandry/iemocapfullrelease/versions/1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F000.wav, Come on.,neutral
1,script,F,sur,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F003.wav,surprise,/Users/krazmic/.cache/kagglehub/datasets/dejolilandry/iemocapfullrelease/versions/1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F003.wav, We're flashlight,neutral
1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F004.wav,neutral,/Users/krazmic/.cache/kagglehub/datasets/dejolilandry/iemocapfullrelease/versions/1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F004.wav, That's not your flashlight.,neutral
1,script,F,ang,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F006.wav,angry,/Users/krazmic/.cache/kagglehub/datasets/dejolilandry/iemocapfullrelease/versions/1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F006.wav," You keep saying my flashlight, like it's just yours.",angry
1,script,F,ang,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F007.wav,angry,/Users/krazmic/.cache/kagglehub/datasets/dejolilandry/iemocapfullrelease/versions/1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F007.wav, How's that supposed to make me feel?,angry
1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F008.wav,neutral,/Users/krazmic/.cache/kagglehub/datasets/dejolilandry/iemocapfullrelease/versions/1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F008.wav, Yeah,neutral
1,script,F,hap,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F009.wav,happy,/Users/krazmic/.cache/kagglehub/datasets/dejolilandry/iemocapfullrelease/versions/1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F009.wav, claiming that law,neutral
1,script,F,sad,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F010.wav,sad,/Users/krazmic/.cache/kagglehub/datasets/dejolilandry/iemocapfullrelease/versions/1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F010.wav, I'm cold.,neutral
1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F015.wav,neutral,/Users/krazmic/.cache/kagglehub/datasets/dejolilandry/iemocapfullrelease/versions/1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F015.wav, Not particularly.,neutral
1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F024.wav,neutral,/Users/krazmic/.cache/kagglehub/datasets/dejolilandry/iemocapfullrelease/versions/1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F024.wav, So when?,surprise
1,script,F,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F025.wav,neutral,/Users/krazmic/.cache/kagglehub/datasets/dejolilandry/iemocapfullrelease/versions/1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F025.wav, about what?,neutral
1,script,F,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M007.wav,neutral,/Users/krazmic/.cache/kagglehub/datasets/dejolilandry/iemocapfullrelease/versions/1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M007.wav," The flashlight, the silver one. There's only one, isn't it?",fear
1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M008.wav,neutral,/Users/krazmic/.cache/kagglehub/datasets/dejolilandry/iemocapfullrelease/versions/1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M008.wav, 그래서��,neutral
1,script,F,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M009.wav,neutral,/Users/krazmic/.cache/kagglehub/datasets/dejolilandry/iemocapfullrelease/versions/1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M009.wav," Oh, well, yeah, of course.",neutral
1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M010.wav,neutral,/Users/krazmic/.cache/kagglehub/datasets/dejolilandry/iemocapfullrelease/versions/1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M010.wav, No.,neutral
1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M011.wav,neutral,/Users/krazmic/.cache/kagglehub/datasets/dejolilandry/iemocapfullrelease/versions/1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M011.wav," Of course, our flashlight, George's mind, me flashlight, it's too flashlight.",neutral
1,script,F,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M013.wav,neutral,/Users/krazmic/.cache/kagglehub/datasets/dejolilandry/iemocapfullrelease/versions/1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M013.wav," Do they always run during a full moon? They don't member, was it full?",surprise
1,script,F,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M014.wav,neutral,/Users/krazmic/.cache/kagglehub/datasets/dejolilandry/iemocapfullrelease/versions/1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M014.wav, Huh? Are you cold? Do you want my jacket? No shit about the blanket. Our blanket?,neutral
1,script,F,neu,3,3,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M015.wav,neutral,/Users/krazmic/.cache/kagglehub/datasets/dejolilandry/iemocapfullrelease/versions/1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M015.wav," Oh, you know, I should have brought a six pack too, a six pack. That'd be just a ticket right about now, huh?",sad
1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M020.wav,neutral,/Users/krazmic/.cache/kagglehub/datasets/dejolilandry/iemocapfullrelease/versions/1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M020.wav, Right!,happy
1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M021.wav,neutral,/Users/krazmic/.cache/kagglehub/datasets/dejolilandry/iemocapfullrelease/versions/1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_M021.wav," Wait, that's my point too.",happy
