,Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,filename,label,info,text
0,1,Why do all youre coffee mugs have numbers on the bottom?,Mark,surprise,positive,0,0,3,19,"00:14:38,127","00:14:40,378",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia0_utt0.mp4,surprise,"{'text': ' Little R кв from Knox, pounding and bushing up the VND.', 'segments': [{'start': 0.0, 'end': 4.3, 'text': ' Little R кв from Knox, pounding and bushing up the VND.'}], 'audio': {'raw': array([ 0.00753534,  0.01322679,  0.01463774, ..., -0.00029119,
       -0.00050951, -0.0004826 ], dtype=float32), 'audio_chunks': [array([ 0.00753534,  0.01322679,  0.01463774, ..., -0.00029119,
       -0.00050951, -0.0004826 ], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=92x92 at 0x37737D350>]}"," Little R кв from Knox, pounding and bushing up the VND."
1,2,"Oh. Thats so Monica can keep track. That way if one on them is missing, she can be like, Wheres number 27?!",Rachel,anger,negative,0,1,3,19,"00:14:40,629","00:14:47,385",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia0_utt1.mp4,angry,"{'text': "" Uh... It's a moment of computer work that won't have to have a dance. Missing should be like... Who's there but what is on?"", 'segments': [{'start': 0.0, 'end': 1.0, 'text': ' Uh...'}, {'start': 2.2, 'end': 7.5600000000000005, 'text': "" It's a moment of computer work that won't have to have a dance.""}, {'start': 7.5600000000000005, 'end': 9.56, 'text': ' Missing should be like...'}, {'start': 9.56, 'end': 11.56, 'text': "" Who's there but what is on?""}], 'audio': {'raw': array([-0.00039228, -0.00043444, -0.00012039, ..., -0.00023737,
        0.00018827,  0.00054995], dtype=float32), 'audio_chunks': [array([-0.00039228, -0.00043444, -0.00012039, ..., -0.00431048,
       -0.0030973 , -0.00051894], dtype=float32), array([ 0.00890866,  0.00963337,  0.0086133 , ..., -0.00023737,
        0.00018827,  0.00054995], dtype=float32), array([], dtype=float32), array([], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=78x78 at 0x376659450>, <PIL.Image.Image image mode=RGB size=79x79 at 0x3433B2290>, <PIL.Image.Image image mode=RGB size=82x82 at 0x383EAF8D0>, <PIL.Image.Image image mode=RGB size=143x143 at 0x383EAF3D0>, <PIL.Image.Image image mode=RGB size=151x151 at 0x383EAFB10>, <PIL.Image.Image image mode=RGB size=94x94 at 0x377372B10>]}", Uh... It's a moment of computer work that won't have to have a dance. Missing should be like... Who's there but what is on?
2,3,Y'know what?,Rachel,neutral,neutral,0,2,3,19,"00:14:56,353","00:14:57,520",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia0_utt2.mp4,neutral,"{'text': '', 'segments': [], 'audio': {'raw': array([-2.5748173e-03, -2.1858644e-03, -1.1065151e-03, ...,
        2.2890454e-06, -8.1068865e-05, -3.0274918e-05], dtype=float32), 'audio_chunks': [], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=93x93 at 0x383EAE7D0>]}",
3,19,"Come on, Lydia, you can do it.",Joey,neutral,neutral,1,0,1,23,"0:10:44,769","0:10:46,146",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia1_utt0.mp4,neutral,"{'text': ' А то ведь какая-то животных.', 'segments': [{'start': 0.0, 'end': 3.66, 'text': ' А то ведь какая-то животных.'}], 'audio': {'raw': array([-0.03299056, -0.04505698, -0.0373264 , ..., -0.01289726,
       -0.00100856,  0.00819721], dtype=float32), 'audio_chunks': [array([-0.03299056, -0.04505698, -0.0373264 , ..., -0.01289726,
       -0.00100856,  0.00819721], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=75x75 at 0x377377050>, <PIL.Image.Image image mode=RGB size=72x72 at 0x377350B90>, <PIL.Image.Image image mode=RGB size=75x75 at 0x3771EA1D0>]}", А то ведь какая-то животных.
4,20,Push!,Joey,joy,positive,1,1,1,23,"0:10:46,146","0:10:46,833",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia1_utt1.mp4,happy,"{'text': ' Oh, yeah. Yeah.', 'segments': [{'start': 0.0, 'end': 0.84, 'text': ' Oh, yeah.'}, {'start': 0.84, 'end': 1.6600000000000001, 'text': ' Yeah.'}], 'audio': {'raw': array([ 1.4019650e-03,  1.9320056e-03,  1.8784998e-03, ...,
       -7.0290946e-05, -1.7406572e-04, -1.2395491e-05], dtype=float32), 'audio_chunks': [array([ 1.4019650e-03,  1.9320056e-03,  1.8784998e-03, ...,
       -7.0290946e-05, -1.7406572e-04, -1.2395491e-05], dtype=float32), array([], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=73x73 at 0x383EC5F90>]}"," Oh, yeah. Yeah."
5,21,"Push 'em out, push 'em out, harder, harder.",Joey,joy,positive,1,2,1,23,"00:10:46,979","00:10:50,148",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia1_utt2.mp4,happy,"{'text': ' Пешево, пешево, гэй-гэй-гэй!', 'segments': [{'start': 0.0, 'end': 6.0, 'text': ' Пешево, пешево, гэй-гэй-гэй!'}], 'audio': {'raw': array([ 0.00034392,  0.00048808, -0.00048804, ..., -0.00055751,
       -0.00077259, -0.00040928], dtype=float32), 'audio_chunks': [array([ 0.00034392,  0.00048808, -0.00048804, ..., -0.00055751,
       -0.00077259, -0.00040928], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=157x157 at 0x383F10150>, <PIL.Image.Image image mode=RGB size=140x140 at 0x383F127D0>]}"," Пешево, пешево, гэй-гэй-гэй!"
6,22,"Push 'em out, push 'em out, way out!",Joey,joy,positive,1,3,1,23,"00:10:50,316","00:10:52,609",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia1_utt3.mp4,happy,"{'text': ' Yes, yes, yes, yes, yes.', 'segments': [{'start': 0.0, 'end': 3.0, 'text': ' Yes, yes, yes, yes, yes.'}], 'audio': {'raw': array([-0.02414335, -0.02618471, -0.02077055, ..., -0.00089383,
        0.00379371,  0.01141711], dtype=float32), 'audio_chunks': [array([-0.02414335, -0.02618471, -0.02077055, ..., -0.00089383,
        0.00379371,  0.01141711], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=150x150 at 0x37806E7D0>, <PIL.Image.Image image mode=RGB size=142x142 at 0x383EAF190>]}"," Yes, yes, yes, yes, yes."
7,23,"Let's get that ball and really move, hey, hey, ho, ho.",Joey,joy,positive,1,4,1,23,"00:10:52,777","00:10:55,612",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia1_utt4.mp4,happy,"{'text': ' below', 'segments': [{'start': 0.0, 'end': 6.76, 'text': ' below'}], 'audio': {'raw': array([-3.4863140e-02, -5.2324787e-02, -4.0616713e-02, ...,
       -9.3910545e-05,  4.6221350e-04,  4.0141292e-04], dtype=float32), 'audio_chunks': [array([-3.4863140e-02, -5.2324787e-02, -4.0616713e-02, ...,
       -9.3910545e-05,  4.6221350e-04,  4.0141292e-04], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=174x174 at 0x383EDE8D0>, <PIL.Image.Image image mode=RGB size=153x153 at 0x383EDE510>, <PIL.Image.Image image mode=RGB size=163x163 at 0x37732C850>]}", below
8,24,"Let's  I was justyeah, right.",Joey,joy,positive,1,5,1,23,"00:10:55,780","00:11:01,242",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia1_utt5.mp4,happy,"{'text': ' Yeah?', 'segments': [{'start': 0.0, 'end': 1.46, 'text': ' Yeah?'}], 'audio': {'raw': array([0.00331572, 0.00328298, 0.00136137, ..., 0.00270778, 0.00303156,
       0.00297796], dtype=float32), 'audio_chunks': [array([ 0.00331572,  0.00328298,  0.00136137, ..., -0.01237386,
       -0.0127908 , -0.01278472], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=141x141 at 0x383EE8E90>, <PIL.Image.Image image mode=RGB size=174x174 at 0x383EEA690>]}", Yeah?
9,25,Push!,Joey,joy,positive,1,6,1,23,"0:11:01,410","0:11:01,828",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia1_utt6.mp4,happy,"{'text': ' Yeah. Yeah. Yeah. Yeah.', 'segments': [{'start': 0.0, 'end': 1.0, 'text': ' Yeah.'}, {'start': 1.0, 'end': 2.0, 'text': ' Yeah.'}, {'start': 2.0, 'end': 3.0, 'text': ' Yeah.'}, {'start': 3.0, 'end': 4.0, 'text': ' Yeah.'}], 'audio': {'raw': array([-0.00410594, -0.00518559, -0.00353116, ..., -0.00815563,
       -0.01486674, -0.02263009], dtype=float32), 'audio_chunks': [array([-0.00410594, -0.00518559, -0.00353116, ..., -0.08526564,
       -0.07098082, -0.04646014], dtype=float32), array([-0.02635147, -0.00883264,  0.00704876, ...,  0.04765799,
        0.02514276,  0.02073735], dtype=float32), array([ 0.04130653,  0.04765152,  0.02908305, ..., -0.00815563,
       -0.01486674, -0.02263009], dtype=float32), array([], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=71x71 at 0x383EEB550>, <PIL.Image.Image image mode=RGB size=68x68 at 0x383EEBD90>]}", Yeah. Yeah. Yeah. Yeah.
10,26,Push!,Joey,joy,positive,1,7,1,23,"0:11:01,828","0:11:03,774",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia1_utt7.mp4,happy,"{'text': ' N cet', 'segments': [{'start': 0.0, 'end': 2.84, 'text': ' N cet'}], 'audio': {'raw': array([ 1.2902760e-02,  1.7121688e-02,  4.6396577e-03, ...,
       -1.2050294e-04, -9.0968468e-05,  7.3731521e-06], dtype=float32), 'audio_chunks': [array([ 1.2902760e-02,  1.7121688e-02,  4.6396577e-03, ...,
       -1.2050294e-04, -9.0968468e-05,  7.3731521e-06], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=75x75 at 0x383EDE050>]}", N cet
11,27,Okay.,Ross,neutral,neutral,2,0,5,16,"00:07:26,446","00:07:27,487",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia2_utt0.mp4,neutral,"{'text': '', 'segments': [], 'audio': {'raw': array([-0.00416314,  0.00264784,  0.00643354, ..., -0.00853596,
       -0.00955068, -0.01004233], dtype=float32), 'audio_chunks': [], 'sample_rate': 32000}, 'frames': []}",
12,28,"Ross, didn't you say that there was an elevator in here?",Rachel,neutral,neutral,2,1,5,16,"00:07:27,655","00:07:30,574",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia2_utt1.mp4,neutral,"{'text': ' U глаз, wake me up Dr.', 'segments': [{'start': 0.0, 'end': 28.42, 'text': ' U глаз, wake me up Dr.'}], 'audio': {'raw': array([ 5.26339710e-02,  7.25262910e-02,  6.00242391e-02, ...,
       -1.10458524e-04, -7.47612066e-05, -1.45559519e-04], dtype=float32), 'audio_chunks': [array([ 5.26339710e-02,  7.25262910e-02,  6.00242391e-02, ...,
       -1.10458524e-04, -7.47612066e-05, -1.45559519e-04], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=50x50 at 0x383EEA0D0>]}"," U глаз, wake me up Dr."
13,29,"Uhh, yes I did but there isn't. Okay, here we go.",Ross,sadness,negative,2,2,5,16,"00:07:30,741","00:07:34,119",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia2_utt2.mp4,sad,"{'text': "" I'm gonna shut up. I'm gonna shut up. I'm gonna shut up."", 'segments': [{'start': 0.0, 'end': 2.0, 'text': "" I'm gonna shut up.""}, {'start': 2.0, 'end': 4.0, 'text': "" I'm gonna shut up.""}, {'start': 4.0, 'end': 6.0, 'text': "" I'm gonna shut up.""}], 'audio': {'raw': array([-0.03546485, -0.04529849, -0.03988085, ...,  0.00016928,
       -0.00092842,  0.00015972], dtype=float32), 'audio_chunks': [array([-0.03546485, -0.04529849, -0.03988085, ...,  0.00175392,
        0.00243642,  0.00327921], dtype=float32), array([ 0.00338661,  0.00248696,  0.00147421, ...,  0.00016928,
       -0.00092842,  0.00015972], dtype=float32), array([], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=255x255 at 0x383EFDA90>]}", I'm gonna shut up. I'm gonna shut up. I'm gonna shut up.
14,30,"Okay, go left. Left! Left!",Ross,surprise,negative,2,3,5,16,"00:07:35,413","00:07:37,205",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia2_utt3.mp4,surprise,"{'text': ' Thanks. Well done. we', 'segments': [{'start': 0.0, 'end': 0.9, 'text': ' Thanks.'}, {'start': 0.9, 'end': 21.7, 'text': ' Well done.'}, {'start': 21.7, 'end': 29.46, 'text': ' we'}], 'audio': {'raw': array([ 0.0084027 ,  0.01009181,  0.00321044, ..., -0.00269587,
        0.00209843, -0.00142923], dtype=float32), 'audio_chunks': [array([ 0.0084027 ,  0.01009181,  0.00321044, ..., -0.00268096,
       -0.00221947, -0.00212841], dtype=float32), array([-0.00195698, -0.00143383, -0.00120965, ..., -0.00269587,
        0.00209843, -0.00142923], dtype=float32), array([], dtype=float32)], 'sample_rate': 32000}, 'frames': []}", Thanks. Well done. we
15,31,"Okay, y'know what? There is no more left, left!",Rachel,anger,negative,2,4,5,16,"00:07:39,709","00:07:43,128",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia2_utt4.mp4,angry,"{'text': ' not a single nestspe date.', 'segments': [{'start': 0.0, 'end': 4.66, 'text': ' not a single nestspe date.'}], 'audio': {'raw': array([ 0.01291021,  0.01361265,  0.00322396, ..., -0.00171417,
       -0.00186786, -0.00201366], dtype=float32), 'audio_chunks': [array([ 0.01291021,  0.01361265,  0.00322396, ..., -0.00171417,
       -0.00186786, -0.00201366], dtype=float32)], 'sample_rate': 32000}, 'frames': []}", not a single nestspe date.
16,32,"Oh okay, lift it straight up over your head!",Ross,anger,negative,2,5,5,16,"00:07:43,963","00:07:46,047",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia2_utt5.mp4,angry,"{'text': ' I cannot only less talk siz��', 'segments': [{'start': 0.0, 'end': 3.4, 'text': ' I cannot only less talk siz��'}], 'audio': {'raw': array([ 0.00292929,  0.00363799,  0.00590621, ..., -0.00041686,
       -0.00049887, -0.00044485], dtype=float32), 'audio_chunks': [array([ 0.00292929,  0.00363799,  0.00590621, ..., -0.00041686,
       -0.00049887, -0.00044485], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=172x172 at 0x37805BBD0>, <PIL.Image.Image image mode=RGB size=177x177 at 0x383EBA550>, <PIL.Image.Image image mode=RGB size=178x178 at 0x383EB7AD0>]}", I cannot only less talk siz��
17,33,Straight up over your head!,Ross,anger,negative,2,6,5,16,"0:07:46,215","0:07:47,777",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia2_utt6.mp4,angry,"{'text': ' так 원�рашbene, так вам она дам пока.', 'segments': [{'start': 0.0, 'end': 4.9, 'text': ' так 원�рашbene, так вам она дам пока.'}], 'audio': {'raw': array([ 4.7686137e-02,  5.7324775e-02,  4.5108259e-02, ...,
       -2.1525211e-05, -8.6660242e-05, -1.4856287e-04], dtype=float32), 'audio_chunks': [array([ 4.7686137e-02,  5.7324775e-02,  4.5108259e-02, ...,
       -2.1525211e-05, -8.6660242e-05, -1.4856287e-04], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=173x173 at 0x383EC1250>, <PIL.Image.Image image mode=RGB size=174x174 at 0x383EC2050>]}"," так 원�рашbene, так вам она дам пока."
18,34,You can do it!,Ross,joy,positive,2,7,5,16,"0:07:47,777","0:07:48,648",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia2_utt7.mp4,happy,"{'text': '', 'segments': [], 'audio': {'raw': array([-4.8394911e-03, -7.8511965e-03, -3.9851759e-03, ...,
       -2.8945757e-05, -3.2663935e-05, -2.1405196e-05], dtype=float32), 'audio_chunks': [], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=63x63 at 0x383F105D0>]}",
19,35,You can do it!,Ross,joy,positive,2,8,5,16,"00:07:48,759","00:07:50,010",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia2_utt8.mp4,happy,"{'text': "" I'll come down."", 'segments': [{'start': 0.0, 'end': 2.0, 'text': "" I'll come down.""}], 'audio': {'raw': array([-0.00426344, -0.00564048, -0.00282395, ..., -0.01456263,
       -0.00871478, -0.00265803], dtype=float32), 'audio_chunks': [array([-0.00426344, -0.00564048, -0.00282395, ..., -0.01456263,
       -0.00871478, -0.00265803], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=104x104 at 0x343FC66D0>]}", I'll come down.
20,36,Okay.,Ross,neutral,neutral,2,9,5,16,"0:07:50,178","0:07:51,150",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia2_utt9.mp4,neutral,"{'text': ' 인파 Forsch', 'segments': [{'start': 0.18, 'end': 1.0, 'text': ' 인파'}, {'start': 2.96, 'end': 11.84, 'text': ' Forsch'}], 'audio': {'raw': array([-0.00505819, -0.00768854, -0.00743816, ...,  0.00024705,
       -0.001046  , -0.00279484], dtype=float32), 'audio_chunks': [array([-0.00176985, -0.00043601, -0.00026213, ...,  0.03522283,
        0.03581093,  0.03640875], dtype=float32), array([], dtype=float32)], 'sample_rate': 32000}, 'frames': []}", 인파 Forsch
21,37,You got it?,Ross,neutral,neutral,2,10,5,16,"0:07:51,150","0:07:52,227",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia2_utt10.mp4,neutral,"{'text': '', 'segments': [], 'audio': {'raw': array([-9.7656725e-03, -1.8296706e-02, -2.2821600e-02, ...,
        2.1513511e-04,  6.5378554e-05,  7.3287505e-05], dtype=float32), 'audio_chunks': [], 'sample_rate': 32000}, 'frames': []}",
22,38,"Oh, okay, I get it.",Steve,neutral,neutral,3,0,5,15,"00:05:59,776","00:06:01,777",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia3_utt0.mp4,neutral,"{'text': 'オッケーオッケー', 'segments': [{'start': 0.0, 'end': 2.0, 'text': 'オッケー'}, {'start': 2.0, 'end': 4.0, 'text': 'オッケー'}], 'audio': {'raw': array([0.00148296, 0.00256603, 0.00192806, ..., 0.00023859, 0.00066394,
       0.0014986 ], dtype=float32), 'audio_chunks': [array([0.00148296, 0.00256603, 0.00192806, ..., 0.00023859, 0.00066394,
       0.0014986 ], dtype=float32), array([], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=157x157 at 0x383F0ED90>, <PIL.Image.Image image mode=RGB size=144x144 at 0x383F1AF50>]}",オッケーオッケー
23,39,"No wait, look. Look! I'm sorry, it's just I've never even",Ross,fear,negative,3,1,5,15,"00:06:02,153","00:06:06,823",/Users/krazmic/.cache/kagglehub/datasets/bhandariprakanda/meld-emotion-recognition/versions/9/MELD.Raw/MELD.Raw/test/output_repeated_splits_test/dia3_utt1.mp4,fear,"{'text': "" I'm sure lots of, sure, another laugh have had alligator需要."", 'segments': [{'start': 0.0, 'end': 6.7, 'text': "" I'm sure lots of, sure, another laugh""}, {'start': 6.84, 'end': 11.84, 'text': ' have had alligator需要.'}], 'audio': {'raw': array([-0.00936582, -0.01436089, -0.00592275, ..., -0.0560235 ,
       -0.05621489, -0.06489787], dtype=float32), 'audio_chunks': [array([-0.00936582, -0.01436089, -0.00592275, ..., -0.0560235 ,
       -0.05621489, -0.06489787], dtype=float32), array([], dtype=float32)], 'sample_rate': 32000}, 'frames': [<PIL.Image.Image image mode=RGB size=106x106 at 0x37849EA50>, <PIL.Image.Image image mode=RGB size=134x134 at 0x383EAF750>, <PIL.Image.Image image mode=RGB size=120x120 at 0x383EDC2D0>]}"," I'm sure lots of, sure, another laugh have had alligator需要."
